"Transect","ID","Remarks","Time","Geometry","Latitude","Longitude","Elevation","Ortho.Height","Instrument.Ht","Fix.ID","Horizontal.Accuracy","Vertical.Accuracy","PDOP","HDOP","VDOP","Satellites.in.View","Satellites.in.Use","Top_layer","Top_layer_other","Lower_1","Lower_1_other","Lower_2","Lower_2_other","Lower_3","Lower_3_other","Litter","Litter_other","Soil_surface","Soil_surface_other","Microsite","Microsite_other","Photo","Top_height","Litter_depth_center","Site","Season","Litter_depth_north","Litter_depth_east","Litter_depth_south","Litter_depth_west","Nearby_canopy_1","Nearby_canopy_2","Nearby_canopy_3","Nearby_canopy_4","Nearby_canopy_5","BagID","Quadrat_checklist","Top_Plotting","Microsite_Plotting","mean_depth"
"SRER001",1,50,"26-09-2024 07:35:50.750 -0700","POINTZ(-110.883650503 31.85278795 991.721)",31.85278795,-110.883650503,991.721,0,1.74,1,0.22,0.46,0.89,0.5,0.73,36,29,"NONE",NA,"N",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"OPEN",NA,NA,0,3,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",3
"SRER001",2,49,"26-09-2024 07:36:45.500 -0700","POINTZ(-110.88365109 31.85277917 991.792)",31.85277917,-110.88365109,991.792,0,1.74,1,0.2,0.44,0.97,0.54,0.81,36,28,"L-OTHER","PRVE","D-FORB",NA,"N",NA,"N",NA,"DUNG","H_W","SOIL",NA,"CANOPY",NA,NA,220,10,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrubs",10
"SRER001",3,48,"26-09-2024 07:37:20.250 -0700","POINTZ(-110.883651917 31.852770867 991.814)",31.852770867,-110.883651917,991.814,0,1.74,1,0.19,0.43,0.97,0.54,0.81,36,28,"L-OTHER","PRVE","N",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"CANOPY",NA,NA,220,3,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrubs",3
"SRER001",4,47,"26-09-2024 07:38:10.750 -0700","POINTZ(-110.883653065 31.852761975 991.893)",31.852761975,-110.883653065,991.893,0,1.74,1,0.19,0.43,0.97,0.54,0.81,36,28,"L-OTHER","PRVE","N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"CANOPY",NA,NA,220,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrubs",0
"SRER001",5,46,"26-09-2024 07:38:53.750 -0700","POINTZ(-110.883654043 31.852753288 991.285)",31.852753288,-110.883654043,991.285,0,1.74,2,0.15,0.37,1.11,0.6,0.93,36,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",6,45,"26-09-2024 07:39:20.750 -0700","POINTZ(-110.88365122 31.852742278 990.87)",31.852742278,-110.88365122,990.87,0,1.74,2,0.11,0.29,0.99,0.54,0.83,37,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",7,44,"26-09-2024 07:39:47.250 -0700","POINTZ(-110.883650917 31.852733868 990.929)",31.852733868,-110.883650917,990.929,0,1.74,2,0.11,0.27,0.99,0.54,0.83,36,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"OPEN",NA,NA,0,5,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",5
"SRER001",8,43,"26-09-2024 07:40:18.000 -0700","POINTZ(-110.883652002 31.852725125 991.002)",31.852725125,-110.883652002,991.002,0,1.74,2,0.11,0.27,0.99,0.54,0.83,37,28,"D-FORB",NA,"L-FORB",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"OPEN",NA,NA,45,3,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Annual Grasses and Forbs",3
"SRER001",9,42,"26-09-2024 07:40:46.250 -0700","POINTZ(-110.88365152 31.8527165 990.511)",31.8527165,-110.88365152,990.511,0,1.74,2,0.11,0.27,0.99,0.54,0.83,37,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"OPEN",NA,NA,0,3,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",3
"SRER001",10,41,"26-09-2024 07:41:17.000 -0700","POINTZ(-110.883653142 31.85270717 990.66)",31.85270717,-110.883653142,990.66,0,1.74,2,0.11,0.26,0.99,0.54,0.83,37,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",11,40,"26-09-2024 07:41:41.250 -0700","POINTZ(-110.883651862 31.852696907 990.684)",31.852696907,-110.883651862,990.684,0,1.74,2,0.11,0.26,0.99,0.54,0.83,37,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",12,39,"26-09-2024 07:42:18.750 -0700","POINTZ(-110.883649928 31.852685195 989.819)",31.852685195,-110.883649928,989.819,0,1.74,2,0.1,0.24,0.99,0.54,0.83,37,28,"L-PGRASS",NA,"N",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"CANOPY",NA,NA,40,5,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial Grasses",5
"SRER001",13,38,"26-09-2024 07:43:02.000 -0700","POINTZ(-110.883647032 31.852674018 989.619)",31.852674018,-110.883647032,989.619,0,1.74,2,0.098,0.24,0.99,0.54,0.83,36,28,"L-OTHER","OP","N",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"CANOPY",NA,NA,145,2,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cactus",2
"SRER001",14,37,"26-09-2024 07:43:27.500 -0700","POINTZ(-110.883645887 31.852664945 989.506)",31.852664945,-110.883645887,989.506,0,1.74,2,0.1,0.24,0.99,0.54,0.83,37,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",15,36,"26-09-2024 07:43:51.000 -0700","POINTZ(-110.883646342 31.852657113 989.543)",31.852657113,-110.883646342,989.543,0,1.74,2,0.1,0.24,0.99,0.54,0.83,37,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",16,35,"26-09-2024 07:44:19.250 -0700","POINTZ(-110.883648363 31.852648188 989.733)",31.852648188,-110.883648363,989.733,0,1.74,2,0.097,0.23,0.99,0.54,0.83,37,28,"L-FORB",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,15,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Annual Grasses and Forbs",0
"SRER001",17,34,"26-09-2024 07:45:28.000 -0700","POINTZ(-110.883648478 31.852640125 989.301)",31.852640125,-110.883648478,989.301,0,1.74,2,0.098,0.24,0.99,0.54,0.83,36,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",18,33,"26-09-2024 07:46:08.750 -0700","POINTZ(-110.883649143 31.852628715 989.905)",31.852628715,-110.883649143,989.905,0,1.74,2,0.097,0.23,0.99,0.54,0.83,36,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",19,32,"26-09-2024 07:46:36.000 -0700","POINTZ(-110.883649318 31.852620243 989.636)",31.852620243,-110.883649318,989.636,0,1.74,2,0.097,0.23,0.98,0.54,0.83,37,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",20,31,"26-09-2024 07:47:16.750 -0700","POINTZ(-110.883648873 31.852610315 989.724)",31.852610315,-110.883648873,989.724,0,1.74,2,0.097,0.24,1.08,0.56,0.92,37,27,"L-PGRASS",NA,"N",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"OPEN",NA,NA,65,5,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial Grasses",5
"SRER001",21,30,"26-09-2024 07:48:15.500 -0700","POINTZ(-110.88365026 31.852602167 989.674)",31.852602167,-110.88365026,989.674,0,1.74,2,0.1,0.25,1.07,0.56,0.92,37,27,"L-PGRASS",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"OTHER","TCAST","OPEN",NA,NA,25,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nonliving Retention Elements",0
"SRER001",22,29,"26-09-2024 07:49:41.000 -0700","POINTZ(-110.883650243 31.852592735 989.938)",31.852592735,-110.883650243,989.938,0,1.74,2,0.097,0.24,1.07,0.56,0.91,37,27,"L-OTHER","OP","L-OTHER","EPVI","N",NA,"N",NA,"LT-C",NA,"SOIL",NA,"CANOPY",NA,NA,65,25,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cactus",25
"SRER001",23,28,"26-09-2024 07:50:40.500 -0700","POINTZ(-110.883651047 31.852585517 989.563)",31.852585517,-110.883651047,989.563,0,1.74,2,0.1,0.25,1.07,0.56,0.91,37,27,"L-PGRASS",NA,"N",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"OPEN",NA,NA,65,5,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial Grasses",5
"SRER001",24,27,"26-09-2024 07:51:10.500 -0700","POINTZ(-110.88365106 31.852575687 989.523)",31.852575687,-110.88365106,989.523,0,1.74,2,0.097,0.24,1.07,0.56,0.91,37,27,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",25,26,"26-09-2024 07:51:48.000 -0700","POINTZ(-110.883653037 31.852566657 989.68)",31.852566657,-110.883653037,989.68,0,1.74,2,0.098,0.24,1.07,0.56,0.91,37,27,"NONE",NA,"N",NA,"N",NA,"N",NA,"OTHER","H_C","SOIL",NA,"OPEN",NA,NA,0,50,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",50
"SRER001",26,25,"26-09-2024 07:52:35.750 -0700","POINTZ(-110.88365333 31.8525582 989.547)",31.8525582,-110.88365333,989.547,0,1.74,2,0.099,0.24,1.06,0.56,0.91,37,27,"L-PGRASS",NA,"N",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"OPEN",NA,NA,30,3,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial Grasses",3
"SRER001",27,24,"26-09-2024 07:53:06.500 -0700","POINTZ(-110.883654753 31.852551062 989.727)",31.852551062,-110.883654753,989.727,0,1.74,2,0.097,0.24,1.06,0.56,0.9,37,27,"NONE",NA,"N",NA,"N",NA,"N",NA,"LT-C",NA,"SOIL",NA,"OPEN",NA,NA,0,5,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",5
"SRER001",28,23,"26-09-2024 07:53:35.750 -0700","POINTZ(-110.883656353 31.852542153 989.78)",31.852542153,-110.883656353,989.78,0,1.74,2,0.097,0.24,1.06,0.56,0.9,37,27,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",30,22,"26-09-2024 07:54:13.250 -0700","POINTZ(-110.88365566 31.852532748 989.742)",31.852532748,-110.88365566,989.742,0,1.74,2,0.1,0.25,0.99,0.53,0.83,37,28,"L-PGRASS",NA,"N",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"OPEN",NA,"20240926145459.jpg",55,5,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial Grasses",5
"SRER001",31,21,"26-09-2024 07:55:51.000 -0700","POINTZ(-110.883654843 31.852522518 989.583)",31.852522518,-110.883654843,989.583,0,1.74,2,0.1,0.24,0.99,0.53,0.83,37,28,"D-FORB",NA,"N",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"OPEN",NA,NA,5,3,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Annual Grasses and Forbs",3
"SRER001",32,20,"26-09-2024 07:56:49.500 -0700","POINTZ(-110.883656243 31.85251412 989.141)",31.85251412,-110.883656243,989.141,0,1.74,2,0.1,0.23,0.99,0.53,0.83,37,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",33,19,"26-09-2024 07:57:34.750 -0700","POINTZ(-110.883656053 31.852505742 988.885)",31.852505742,-110.883656053,988.885,0,1.74,2,0.097,0.23,0.98,0.53,0.83,37,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",34,18,"26-09-2024 07:58:10.000 -0700","POINTZ(-110.883656705 31.852495088 989.253)",31.852495088,-110.883656705,989.253,0,1.74,2,0.094,0.23,0.98,0.53,0.83,37,28,"L-PGRASS",NA,"N",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"OPEN",NA,NA,35,2,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial Grasses",2
"SRER001",35,17,"26-09-2024 07:58:39.750 -0700","POINTZ(-110.883657167 31.852486377 989.458)",31.852486377,-110.883657167,989.458,0,1.74,2,0.096,0.23,0.98,0.53,0.83,37,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",36,16,"26-09-2024 07:59:28.500 -0700","POINTZ(-110.883657247 31.852477922 989.176)",31.852477922,-110.883657247,989.176,0,1.74,2,0.094,0.22,0.98,0.53,0.83,37,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",37,15,"26-09-2024 08:00:26.750 -0700","POINTZ(-110.88365563 31.852468135 989.476)",31.852468135,-110.88365563,989.476,0,1.74,2,0.095,0.23,0.98,0.53,0.82,37,28,"L-OTHER","PRVE","L-PGRASS",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"CANOPY",NA,NA,150,10,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrubs",10
"SRER001",38,14,"26-09-2024 08:01:19.000 -0700","POINTZ(-110.883657015 31.852460815 989.493)",31.852460815,-110.883657015,989.493,0,1.74,2,0.094,0.22,0.94,0.52,0.79,37,29,"L-OTHER","PRVE","N",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"CANOPY",NA,NA,150,5,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrubs",5
"SRER001",39,13,"26-09-2024 08:02:29.000 -0700","POINTZ(-110.883656777 31.852451745 989.334)",31.852451745,-110.883656777,989.334,0,1.74,2,0.097,0.22,0.94,0.52,0.79,37,29,"L-OTHER","PRVE","L-PGRASS",NA,"N",NA,"N",NA,"OTHER","H_W","SOIL",NA,"CANOPY",NA,NA,230,30,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrubs",30
"SRER001",40,12,"26-09-2024 08:03:30.750 -0700","POINTZ(-110.883656348 31.852442347 989.511)",31.852442347,-110.883656348,989.511,0,1.74,2,0.096,0.23,0.94,0.51,0.79,36,29,"L-OTHER","PRVE","L-PGRASS",NA,"N",NA,"N",NA,"OTHER","H_W","SOIL",NA,"CANOPY",NA,NA,230,50,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrubs",50
"SRER001",41,11,"26-09-2024 08:04:31.500 -0700","POINTZ(-110.883651255 31.852435805 988.333)",31.852435805,-110.883651255,988.333,0,1.74,2,0.1,0.23,0.94,0.51,0.78,36,29,"L-OTHER","PRVE","L-PGRASS",NA,"L-FORB",NA,"N",NA,"OTHER","H_W","SOIL",NA,"CANOPY",NA,NA,230,25,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrubs",25
"SRER001",42,10,"26-09-2024 08:05:16.750 -0700","POINTZ(-110.883654033 31.852424427 989.249)",31.852424427,-110.883654033,989.249,0,1.74,2,0.095,0.23,0.94,0.51,0.78,36,29,"D-OTHER","PRVE","L-OTHER","PRVE","D-FORB",NA,"N",NA,"LT-H",NA,"SOIL",NA,"CANOPY",NA,NA,240,2,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrubs",2
"SRER001",43,9,"26-09-2024 08:05:59.750 -0700","POINTZ(-110.883655393 31.852417438 989.376)",31.852417438,-110.883655393,989.376,0,1.74,2,0.1,0.24,0.96,0.52,0.81,35,28,"L-OTHER","PRVE","L-PGRASS",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"CANOPY",NA,NA,240,10,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrubs",10
"SRER001",44,8,"26-09-2024 08:06:36.500 -0700","POINTZ(-110.883654077 31.85240696 989.234)",31.85240696,-110.883654077,989.234,0,1.74,2,0.095,0.23,0.96,0.52,0.81,36,28,"L-OTHER",NA,"N",NA,"N",NA,"N",NA,"OTHER","H_W","SOIL",NA,"CANOPY",NA,NA,240,20,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrubs",20
"SRER001",45,7,"26-09-2024 08:07:06.750 -0700","POINTZ(-110.883656818 31.852396847 989.13)",31.852396847,-110.883656818,989.13,0,1.74,2,0.096,0.22,0.96,0.52,0.81,36,28,"L-OTHER","PRVE","D-FORB",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"CANOPY",NA,NA,240,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrubs",0
"SRER001",46,6,"26-09-2024 08:08:03.500 -0700","POINTZ(-110.883659745 31.852389942 989.494)",31.852389942,-110.883659745,989.494,0,1.74,2,0.096,0.22,0.96,0.52,0.81,36,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",47,5,"26-09-2024 08:08:29.000 -0700","POINTZ(-110.883661902 31.85237961 989.402)",31.85237961,-110.883661902,989.402,0,1.74,2,0.095,0.22,0.96,0.52,0.81,36,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER001",48,4,"26-09-2024 08:08:59.500 -0700","POINTZ(-110.883663053 31.85237072 989.699)",31.85237072,-110.883663053,989.699,0,1.74,2,0.1,0.23,1.01,0.54,0.85,36,28,"NONE",NA,"N",NA,"N",NA,"N",NA,"OTHER","H_W","SOIL",NA,"OPEN",NA,NA,0,5,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",5
"SRER001",49,3,"26-09-2024 08:09:54.250 -0700","POINTZ(-110.883664742 31.852363093 990.137)",31.852363093,-110.883664742,990.137,0,1.74,2,0.1,0.24,1.01,0.54,0.85,36,27,"L-PGRASS",NA,"N",NA,"N",NA,"N",NA,"OTHER","H_W","SOIL",NA,"CANOPY",NA,NA,30,10,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial Grasses",10
"SRER001",50,2,"26-09-2024 08:10:26.500 -0700","POINTZ(-110.88366486 31.85235323 989.832)",31.85235323,-110.88366486,989.832,0,1.74,2,0.1,0.24,1.01,0.54,0.85,36,27,"L-PGRASS",NA,"N",NA,"N",NA,"N",NA,"LT-H",NA,"SOIL",NA,"OPEN",NA,NA,55,2,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial Grasses",2
"SRER001",51,1,"26-09-2024 08:10:52.000 -0700","POINTZ(-110.883667503 31.852345078 989.966)",31.852345078,-110.883667503,989.966,0,1.74,2,0.1,0.24,1.01,0.54,0.85,36,27,"NONE",NA,"N",NA,"N",NA,"N",NA,"NONE",NA,"SOIL",NA,"OPEN",NA,NA,0,0,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bare Ground",0
"SRER006",47,50,"21-09-2024 09:24:23.500 -0700","POINTZ(-110.848148857 31.781355838 1181.642)",31.781355838,-110.848148857,1181.642,0,1.74,2,0.11,0.29,1.12,0.57,0.96,27,26,"L-SUBS",NA,NA,NA,NA,NA,NA,NA,"LT-H",NA,"SOIL",NA,"CANOPY",NA,NA,20,1,"SRER","F24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subshrubs",1
