"BagID","Transect","Remarks","Litter","Litter_other","Litter_depth_center","Litter_depth_north","Litter_depth_east","Litter_depth_south","Litter_depth_west"
1154,"ONAQ209",50,"H_W",NA,0,0,0,1,1
2130,"ONAQ209",45,"H_W",NA,0,0,0,1,1
1153,"ONAQ209",40,"H_W_B",NA,2,1,1,1,1
1152,"ONAQ209",35,"H_W_B",NA,3,0,3,4,4
1151,"ONAQ209",30,"LT-H",NA,0,0,0,0,0
2131,"ONAQ209",25,"LT-H",NA,0,1,0,1,0
1150,"ONAQ209",20,"H_W",NA,10,15,10,5,10
1149,"ONAQ209",15,"LT-H",NA,0,0,0,0,0
1147,"ONAQ209",10,"H_W",NA,1,2,3,0,4
1146,"ONAQ209",5,"OTHER","H_W_DUNG",1,0,0,2,0
1122,"ONAQ213",50,"H_W_B",NA,0,0,0,0,1
1123,"ONAQ213",45,"H_W",NA,5,6,15,8,8
1124,"ONAQ213",40,"OTHER","H_W_B_DUNG",1,0,1,0,1
1125,"ONAQ213",45,"H_W_B",NA,0,0,1,1,1
1126,"ONAQ213",30,"OTHER","H_W_B_DUNG",1,0,1,2,3
1127,"ONAQ213",25,"H_W_B",NA,3,10,2,0,1
1128,"ONAQ213",20,"LT-H",NA,0,10,5,5,15
1129,"ONAQ213",15,"LT-H",NA,1,2,3,5,1
1130,"ONAQ213",10,"LT-H",NA,5,3,0,1,0
1131,"ONAQ213",5,"OTHER","W_B_DUNG",0,0,0,0,0
1181,"ONAQ215",50,"H_W",NA,5,4,2,4,4
1183,"ONAQ215",40,"H_W_B",NA,10,10,10,0,0
1182,"ONAQ215",45,"H_W_B",NA,3,1,1,1,1
1184,"ONAQ215",35,"LT-H",NA,0,1,3,0,3
1185,"ONAQ215",30,"H_W_B",NA,3,1,2,3,0
1186,"ONAQ215",25,"H_W_B",NA,2,1,3,0,10
1187,"ONAQ215",20,"H_W_B",NA,1,1,0,0,0
1188,"ONAQ215",15,"H_W",NA,0,1,1,0,0
1189,"ONAQ215",10,"H_W",NA,0,1,2,0,2
1138,"ONAQ215",5,"LT-H",NA,5,5,5,1,3
1132,"ONAQ230",50,"LT-H",NA,1,1,2,3,2
1133,"ONAQ230",45,"LT-H",NA,1,0,0,0,0
1134,"ONAQ230",40,"LT-H",NA,1,0,1,1,0
1135,"ONAQ230",35,"H_W_B",NA,3,4,2,0,0
1136,"ONAQ230",30,"OTHER","H_DUNG",0,2,0,2,2
1137,"ONAQ230",25,"LT-H",NA,10,15,10,5,10
2127,"ONAQ230",20,"H_W_B",NA,5,5,2,1,4
1148,"ONAQ230",15,"LT-H",NA,0,1,1,1,1
2128,"ONAQ230",10,"LT-H",NA,5,1,5,10,2
2129,"ONAQ230",5,"H_W",NA,3,3,1,2,1
1139,"ONAQ231",50,"H_W",NA,3,2,1,2,2
1140,"ONAQ231",45,"H_W",NA,2,4,0,0,3
