"","Transect","NONE_n","LATR_n","NONE_min_height_cm","LATR_min_height_cm","NONE_max_height_cm","LATR_max_height_cm","NONE_mean_height_cm","LATR_mean_height_cm","mean_elev_m"
"1","SRER001",24,NA,0,NA,0,NA,0,NA,989.9
"2","SRER006",5,NA,0,NA,0,NA,0,NA,1177.5
"3","SRER007",11,NA,0,NA,0,NA,0,NA,1098.6
"4","SRER008",25,NA,0,NA,0,NA,0,NA,945.3
"5","SRER012",14,NA,0,NA,0,NA,0,NA,1237.8
"6","SRER014",26,NA,0,NA,0,NA,0,NA,940
"7","SRER015",30,NA,0,NA,0,NA,0,NA,921.9
"8","SRER017",15,NA,0,NA,0,NA,0,NA,1461.3
"9","SRER018",13,NA,0,NA,20,NA,2,NA,1235.3
"10","SRER019",11,NA,0,NA,0,NA,0,NA,1306.2
"11","SRER020",10,NA,0,NA,0,NA,0,NA,1077.4
"12","SRER023",4,NA,0,NA,0,NA,0,NA,1112
"13","SRER024",24,NA,0,NA,0,NA,0,NA,938
"14","SRER025",29,NA,0,NA,0,NA,0,NA,912.7
"15","SRER026",24,NA,0,NA,0,NA,0,NA,864.2
"16","SRER027",1,NA,0,NA,0,NA,0,NA,1121.8
"17","SRER028",1,NA,0,NA,0,NA,0,NA,1124.5
"18","SRER029",15,NA,0,NA,10,NA,1,NA,1116.1
"19","SRER030",17,NA,0,NA,0,NA,0,NA,1064.5
"20","SRER031",24,NA,0,NA,0,NA,0,NA,1035.8
"21","SRER039",16,NA,0,NA,0,NA,0,NA,886.5
"22","SRER041",13,NA,0,NA,0,NA,0,NA,1251.3
"23","SRER043",23,NA,0,NA,0,NA,0,NA,1035.7
"24","SRER045",28,11,0,90,0,220,0,161,920.4
