"(Intercept)","logAI_snv","logHeight_snv","logLAI_snv","logPropBare_snv","logPropShrub_snv","df","logLik","AIC","delta","weight"
-2.5123998960853e-16,0.398167249573486,0.397292464561873,NA,-0.198898640111762,0.152039890303886,6,-154.817720444586,321.635440889172,0,0.224349508031266
-1.92866412511899e-16,0.383261393820684,0.535831929311785,NA,NA,NA,4,-157.220315100547,322.440630201094,0.805189311921822,0.149996278471133
-2.4554920776596e-16,0.42033292953682,0.469395225826766,NA,NA,0.0978935180315954,5,-156.253138551836,322.506277103673,0.870836214500741,0.145152807494637
-2.66723867088114e-16,0.398239154125565,0.377056078056768,0.0579334383761413,-0.180479520736299,0.156885094811435,7,-154.31175188695,322.6235037739,0.988062884728436,0.13688945430078
-2.65331553453843e-16,0.417885587372295,0.436142065024821,0.0715800522380012,NA,0.110075439978507,6,-155.474692809015,322.94938561803,1.31394472885853,0.116306945132
-2.03812113304813e-16,0.377418368457112,0.515154723236557,0.059236804172077,NA,NA,5,-156.684302356985,323.368604713969,1.7331638247976,0.0943133950892965
-1.80814047332089e-16,0.361329392397196,0.517659665741731,NA,-0.102230933442135,NA,5,-156.770174543439,323.540349086878,1.90490819770656,0.0865524891342915
-1.92353804873892e-16,0.360368837001705,0.503364755737802,0.0504955300233832,-0.083491497367812,NA,6,-156.394046589415,324.78809317883,3.15265228965859,0.0463804945479509
-4.7259375965996e-16,0.481330535616375,NA,0.116984756359263,-0.413194899082894,0.396984513110554,6,-163.404634898293,338.809269796587,17.1738289074152,4.18480819704024e-05
-4.63120007585189e-16,0.49070304712557,NA,NA,-0.479220913361711,0.414160893260824,5,-165.330880280566,340.661760561131,19.0263196719596,1.65734262202467e-05
-5.61159759243574e-16,0.575057966173797,NA,0.182689103697073,NA,0.370630514499536,5,-169.975933923969,349.951867847938,28.3164269587658,1.59254287654721e-07
1.58610925484627e-16,NA,0.570363107677582,NA,-0.351312231510868,NA,4,-173.074277214397,354.148554428794,32.5131135396222,1.95340466996931e-08
1.44576304000218e-16,NA,0.554080464178357,0.0569587652887173,-0.329427309770027,NA,5,-172.685291578847,355.370583157694,33.7351422685221,1.06030804062097e-08
1.5724117928849e-16,NA,0.565965924440671,NA,-0.355979673205781,0.0058137558250497,5,-173.071762619698,356.143525239396,34.5080843502241,7.20426723802438e-09
-5.69186388973312e-16,0.616832656247503,NA,NA,NA,0.392873856951023,4,-174.639692702753,357.279385405505,35.6439445163333,4.08263837252637e-09
1.41944486766376e-16,NA,0.545908713323644,0.057507050469927,-0.33772427614652,0.0105970873600542,6,-172.676931264694,357.353862529388,35.718421640216,3.93340269674305e-09
2.10465006155727e-16,NA,0.718525075483248,NA,NA,-0.110790594985316,4,-176.827106803584,361.654213607168,40.0187727179961,4.58098679122137e-10
1.65125665973993e-16,NA,0.619132483979134,0.0984354742005653,NA,NA,4,-176.847314466791,361.694628933582,40.0591880444103,4.48934480664471e-10
1.84087650735736e-16,NA,0.6777275652017,0.0841492001949905,NA,-0.0950411840966862,5,-175.998197897578,361.996395795156,40.3609549059846,3.86060280168225e-10
1.93092301171884e-16,NA,0.656550663593271,NA,NA,NA,3,-177.999466301507,361.998932603014,40.3634917138421,3.85570910217109e-10
-4.44521420137399e-16,0.429220576901148,NA,0.1810769531754,-0.314375773014885,NA,5,-184.874350153657,379.748700307315,58.1132594181428,5.39251269470872e-14
-5.14433974346584e-16,0.504357213641823,NA,0.228584580911453,NA,NA,4,-187.88296044306,383.765920886121,62.130479996949,7.23540442557368e-15
-4.27575551664979e-16,0.440505596814795,NA,NA,-0.412277967918601,NA,4,-188.432933831013,384.865867662026,63.2304267728541,4.17457630390547e-15
-5.0662419099262e-17,NA,NA,0.151672240739174,-0.761776539828205,0.345299570624072,5,-188.5902296511,387.1804593022,65.5450184130281,1.31221565600775e-15
-2.75943886759733e-17,NA,NA,NA,-0.856728570813136,0.366385886423436,4,-190.946622052573,389.893244105146,68.2578032159744,3.38011502672842e-16
-5.21068366559623e-16,0.552036421352911,NA,NA,NA,NA,3,-193.738927055804,393.477854111609,71.8424132224368,5.63045260321492e-17
-6.61959773805459e-17,NA,NA,0.204903908408906,-0.641299961351556,NA,4,-201.258767843553,410.517535687106,88.8820947979346,1.12311303084511e-20
-3.56588963855199e-17,NA,NA,NA,-0.762229440174264,NA,3,-204.966390889565,415.93278177913,94.2973408899585,7.49061917846773e-22
-6.47922432040414e-17,NA,NA,0.31151803375589,NA,0.264959869572246,4,-206.585984938162,421.171969876325,99.5365289871531,5.45559946420957e-23
-7.53867738705178e-17,NA,NA,0.333785694013343,NA,NA,3,-212.999126931907,431.998253863814,110.362812974642,2.43189477936621e-25
-1.44123748154222e-17,NA,NA,NA,NA,0.291140354001623,3,-215.318855680217,436.637711360433,115.002270471261,2.39055855291968e-26
-2.21513608696828e-17,NA,NA,NA,NA,NA,2,-222.27175056238,448.54350112476,126.908060235588,6.21140699551123e-29
