"Transect","Latitude","Longitude","Elevation"
"SRER001",31.8525582,-110.88365333,989.547
"SRER006",31.781172547,-110.848267792,1176.903
"SRER007",31.865478468,-110.829787637,1098.41
"SRER008",31.869284702,-110.886441847,945.215
"SRER012",31.847757652,-110.813594123,1237.857
"SRER014",31.82889388,-110.9327691,940.182
"SRER015",31.836090507,-110.93814641,921.918
"SRER017",31.791330337,-110.801586237,1461.287
"SRER018",31.79784299,-110.826562375,1235.292
"SRER019",31.785424817,-110.820370863,1306.244
"SRER020",31.90155585,-110.798780683,1075.264
"SRER023",31.818724708,-110.858765318,1111.787
"SRER024",31.818845977,-110.94162236,937.98
"SRER025",31.81235095,-110.9596948,912.604
"SRER026",31.904981093,-110.903081767,864.393
"SRER027",31.772168897,-110.899223898,1121.745
"SRER028",31.77051155,-110.90108257,1124.556
"SRER029",31.813146932,-110.860483513,1116.505
"SRER030",31.830987247,-110.869426762,1064.33
"SRER031",31.856323678,-110.854318073,1034.084
"SRER039",31.814795532,-110.974518598,885.917
"SRER041",31.794578683,-110.824329342,1251.948
"SRER043",31.894034178,-110.817964495,1035.461
"SRER045",31.870880237,-110.901779005,920.087
"JORN002",32.6666273,-106.867472008,1306.707
"JORN003",32.680174375,-106.826396473,1307.546
"JORN005",32.661827847,-106.810247842,1304.665
"JORN006",32.61575887,-106.770326628,1301.528
"JORN007",32.598176892,-106.764453972,1293.7
"JORN008",32.602276528,-106.751627548,1294.101
"JORN009",32.595204137,-106.749707657,1293.824
"JORN010",32.582829038,-106.745863132,1296.178
"JORN011",32.580734217,-106.773675808,1301.925
"JORN012",32.547288943,-106.770239157,1295.386
"JORN014",32.538389205,-106.79188785,1292.325
"JORN016",32.632683805,-106.837167123,1298.4
"JORN018",32.61357658,-106.85093527,1299.895
"JORN021",32.61275578,-106.81215463,1303.532
"JORN022",32.601829105,-106.821865135,1300.752
"JORN025",32.596014787,-106.821845792,1296.605
"JORN027",32.596861505,-106.791099343,1298.862
"JORN028",32.597145347,-106.866558377,1308.352
"JORN030",32.588771293,-106.86094193,1308.749
"JORN032",32.576101273,-106.838986757,1301.45
"JORN034",32.568616672,-106.8202082,1303.606
"JORN036",32.572922317,-106.794515538,1301.481
"JORN038",32.585324323,-106.814333867,1300.286
"MOAB006",38.25812358,-109.4181071,1781.105
"MOAB010",38.24953851,-109.4211794,1740.114
"MOAB012",38.24990613,-109.4040148,1756.812
"MOAB013",38.24797139,-109.4044013,1766.051
"MOAB014",38.24549554,-109.391406,1778.121
"MOAB020",38.27785867,-109.3516247,1991.456
"MOAB023",38.25834343,-109.3852734,1779.896
"MOAB029",38.26275067,-109.3448645,1997.274
"MOAB030",38.26245724,-109.3405246,1985.576
"MOAB035",38.25164928,-109.3326705,1925.381
"MOAB038",38.23166274,-109.3923674,1700.334
"MOAB042",38.23002249,-109.3526693,1787.276
"MOAB045",38.2206655,-109.3915365,1705.455
"MOAB048",38.20751091,-109.3881721,1705.401
"MOAB050",38.20822936,-109.3747797,1750.455
"ONAQ003",40.187998247,-112.509353867,1839.141
"ONAQ012",40.14758653,-112.5073835,1683.562
"ONAQ013",40.21736631,-112.459415,1653.161
"ONAQ014",40.21169438,-112.4378373,1601.496
"ONAQ020",40.20738769,-112.4230705,1575.12
"ONAQ024",40.19797364,-112.4658277,1674.902
"ONAQ025",40.19851679,-112.4443145,1623.873
"ONAQ026",40.1958263,-112.446128,1624.373
"ONAQ027",40.19666892,-112.4274901,1591.644
"ONAQ028",40.19660857,-112.4195653,1578.953
"ONAQ030",40.18557124,-112.4946855,1768.09
"ONAQ033",40.18559596,-112.4696193,1687.969
"ONAQ034",40.1807616,-112.4607075,1659.563
"ONAQ035",40.17855492,-112.4488597,1629.14
"ONAQ038",40.170225337,-112.499275195,1730.224
"ONAQ042",40.174788393,-112.438113003,1605.25
"ONAQ045",40.14692701,-112.4949487,1652.886
"ONAQ046",40.15836062,-112.4772675,1659.228
"ONAQ048",40.14514995,-112.4720688,1626.135
"ONAQ049",40.15270268,-112.4567587,1612.624
"ONAQ009",40.156438333,-112.51334,1749.4
"ONAQ011",40.148113383,-112.538915088,1805.801
"ONAQ016",40.204643535,-112.4676934,1691.203
"ONAQ023",40.192862918,-112.478045435,1711.919
