"BagID","Transect","Remarks","Litter","Litter_other","Litter_depth_center","Litter_depth_north","Litter_depth_east","Litter_depth_south","Litter_depth_west","Nearby_canopy_1","Nearby_canopy_2","Nearby_canopy_3","Nearby_canopy_4","Nearby_canopy_5"
1072,"JORN019","50","H_W",NA,"0","0","0","3","3","L-PRGL_L-SHRUB_dune",NA,NA,NA,NA
1073,"JORN019","45","N",NA,"0","0","0","0","0",NA,NA,NA,NA,NA
1074,"JORN019","40","DUNG",NA,"0","0","0","0","0",NA,NA,NA,NA,NA
1075,"JORN019","35","H_W",NA,"20","40","10","5","30","L-PRGLE_D-SHRUB_dune",NA,NA,NA,NA
1076,"JORN019","30","H_W",NA,"10","10","5","2","10","L-PRGL_dune",NA,NA,NA,NA
1077,"JORN019","25","H_W",NA,"2","0","0","1","0","L-PRGL_D-SHRUB_dune_95N",NA,NA,NA,NA
1078,"JORN019","20","OTHER","H_W_DUNG","1","0","1","1","1",NA,NA,NA,NA,NA
1079,"JORN019","15","H_B",NA,"0","0","1","1","1","L-SHRUB_50S_140H_75L_70P",NA,NA,NA,NA
1080,"JORN019","10","H_W",NA,"20","20","20","20","20","L-PRGL_dune",NA,NA,NA,NA
1081,"JORN019","5","H_W",NA,"5","10","10","15","5","L-PRGL_D-SHRUB_dune",NA,NA,NA,NA
1052,"JORN035","50","LT-H",NA,"1","0","0","0","0","D-PGRASS_20SE","D-PGRASS_25NW","D-SUBS_40SE",NA,NA
1053,"JORN035","45","LT-H",NA,"0","0","0","2","0","D-PGRASS_patch",NA,NA,NA,NA
1054,"JORN035","40","LT-H",NA,"0","1","0","1","1","D-PGRASS_patch_N","D-FORB_patch_30S",NA,NA,NA
1055,"JORN035","35","OTHER","H_DUNG","0","1","0","0","0","D-SUBS_patch",NA,NA,NA,NA
1057,"JORN035","25","LT-H",NA,"0","0","0","1","0",NA,NA,NA,NA,NA
1056,"JORN035","26","N",NA,"0","0","0","0","0",NA,NA,NA,NA,NA
1059,"JORN035","15","LT-H",NA,"0","0","1","0","1","L-PRGL_60N_75H_200L_140P","L-PRGL_100SE_85H_325L_225P",NA,NA,NA
1061,"JORN035","5","LT-H",NA,"0","0","0","0","0","L-PRGL_80SE_20H_40L_30P","L-PRGL_30NW_30H_55L_50P","D-SUBS_65NW",NA,NA
1062,"JORN037","50","H_W",NA,"1","1","1","1","2","L-PRGL_30E_80H_200L_115P",NA,NA,NA,NA
1063,"JORN037","45","LT-H",NA,"0","0","0","0","0","D-PGRASS_patch",NA,NA,NA,NA
1064,"JORN037","40","LT-H",NA,"0","0","0","1","0","L-PGRASS_5E",NA,NA,NA,NA
1065,"JORN037","35","H_W",NA,"10","15","20","5","1","L-PRGL_patch_NW",NA,NA,NA,NA
1066,"JORN037","30","LT-H",NA,"2","1","1","5","3","L-PGRASS_patch",NA,NA,NA,NA
1067,"JORN037","25","N",NA,"0","0","0","0","0","D-PGRASS_30N","L-EP_80SE_85H_110L_100P","L-PRGL_35SE_25H_60L_30P",NA,NA
1068,"JORN037","20","N",NA,"0","0","0","0","0","L-PRGL_70E_70H_140L_110P","D-PGRASS_60N","D-PGRASS_45S",NA,NA
1069,"JORN037","15","LT-H",NA,"0","0","0","0","0","L-PRGL_90N_80H_200L_150P","L-PRGL_25SE_45H_110L_100P",NA,NA,NA
1070,"JORN037","10","LT-H",NA,"1","1","0","0","0","D-PGRASS_patch",NA,NA,NA,NA
1071,"JORN037","5","N",NA,"0","0","0","0","0","D-PGRASS_patch",NA,NA,NA,NA
1092,"JORN123","50","H_W",NA,"1","1","1","0","0","L-PRGL_dune_10S",NA,NA,NA,NA
1093,"JORN123","45","LT-W",NA,"0","0","0","0","0",NA,NA,NA,NA,NA
1094,"JORN123","40","N",NA,"0","0","0","0","0",NA,NA,NA,NA,NA
1095,"JORN123","35","LT-W",NA,"0","0","0","0","0",NA,NA,NA,NA,NA
1096,"JORN123","30","LT-W",NA,"0","0","0","0","0","L-PRGL_5E_105H_150L_125P","L-PRGL_D-SHRUB_dune_50W",NA,NA,NA
1097,"JORN123","25","N",NA,"0","0","0","0","0","L-PRGL_dune",NA,NA,NA,NA
1098,"JORN123","20","H_W",NA,"2","0","3","1","4","L-PRGL_dune",NA,NA,NA,NA
1100,"JORN123","10","N",NA,"0","0","0","0","0",NA,NA,NA,NA,NA
1102,"JORN129","50","H_W",NA,"4","1","3","3","5","L-PRGL_D-PGRASS_dune",NA,NA,NA,NA
1103,"JORN129","45","N",NA,"0","0","0","0","0","L-SUBS_10N",NA,NA,NA,NA
1104,"JORN129","40","LT-H",NA,"1","0","0","0","0","L-SUBS_20NE",NA,NA,NA,NA
1105,"JORN129","35","LT-H",NA,"1","0","0","0","0","L-SUBS_patch",NA,NA,NA,NA
1106,"JORN129","30","H_W_B",NA,"80","50","40","50","40","L-PRGL_D-PGRASS_dune",NA,NA,NA,NA
1107,"JORN129","25","N",NA,"0","0","0","0","0","L-PRGL_5SW_15H_70_40P","L-SUBS_patch",NA,NA,NA
1108,"JORN129","20","LT-H",NA,"1","0","0","1","0","L-SUBS_patch",NA,NA,NA,NA
1109,"JORN129","15","LT-H",NA,"5","3","15","15","1","D-PGRASS_L-PRGL_dune",NA,NA,NA,NA
1110,"JORN129","10","H_W",NA,"1","3","1","2","1","L-SHRUB_L-PRGL_D-PGRASS_dune",NA,NA,NA,NA
1111,"JORN129","5","OTHER","H_YUEL","1","0","2","4","1","L-SUBS_patch",NA,NA,NA,NA
1082,"JORN137","50","H_B",NA,"0","0","1","0","0","L-PRGL_dune",NA,NA,NA,NA
1083,"JORN137","45","H_W_B",NA,"30","30","3","5","40","L-PRGL_dune",NA,NA,NA,NA
1084,"JORN137","40","LT-W",NA,"0","0","0","0","0","L-PRGL_dune_20S",NA,NA,NA,NA
1085,"JORN137","35","LT-W",NA,"0","0","0","0","0","L-PRGL_dune_100N",NA,NA,NA,NA
1087,"JORN137","25","H_W",NA,"1","0","0","0","0","L-SUBS_D-SUBS_patch",NA,NA,NA,NA
1088,"JORN137","20","H_W",NA,"2","1","2","0","0","L-PRGL_D-PGRASS_dune",NA,NA,NA,NA
1089,"JORN137","15","H_W",NA,"1","5","5","1","5","L-PRGL_L-SHRUB_dune",NA,NA,NA,NA
1090,"JORN137","10","LT-H",NA,"0","0","0","1","0","L-PRGL_L-PGRASS_dune",NA,NA,NA,NA
1091,"JORN137","5","H_W_B",NA,"5","4","5","1","1","L-PRGL_dune",NA,NA,NA,NA
1058,"JORN035","20",NA,NA,NA,NA,NA,NA,"0","L-SUBS_25SW","L-PRGL_60NE_115H_325L_175P",NA,NA,NA
1060,"JORN035","10",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
1099,"JORN123","15",NA,NA,NA,NA,NA,NA,"0","L-PRGL_dune_10SW",NA,NA,NA,NA
NA,"JORN123","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1086,"JORN137","30",NA,NA,NA,NA,NA,NA,"0","L-SUBS_D-SUBS_patch",NA,NA,NA,NA
