"","Transect","ARTR_n","BOGR_n","NONE_n","JUOS_n","ARTR_min_height_cm","BOGR_min_height_cm","NONE_min_height_cm","JUOS_min_height_cm","ARTR_max_height_cm","BOGR_max_height_cm","NONE_max_height_cm","JUOS_max_height_cm","ARTR_mean_height_cm","BOGR_mean_height_cm","NONE_mean_height_cm","JUOS_mean_height_cm","mean_elev_m"
"1","MOAB006",2,7,25,NA,"30","10","0",NA,"55","5","0",NA,NA,NA,NA,NA,1778.4
"2","MOAB010",NA,10,23,NA,NA,"15","0",NA,NA,"40","0",NA,NA,NA,NA,NA,1737
"3","MOAB012",NA,NA,34,5,NA,NA,"0","450",NA,NA,"0","450",NA,NA,NA,NA,1754.4
"4","MOAB013",NA,13,25,NA,NA,"10","0",NA,NA,"35","0",NA,NA,NA,NA,NA,1763.7
"5","MOAB014",NA,2,29,NA,NA,"15","0",NA,NA,"30","0",NA,NA,NA,NA,NA,1777.9
"6","MOAB020",5,NA,24,21,"110",NA,"0","200","90",NA,"0","550",NA,NA,NA,NA,1991.4
"7","MOAB023",2,2,21,2,"45","40","0","360","70","45","0","360",NA,NA,NA,NA,1778.2
"8","MOAB029",5,NA,28,13,"100",NA,"0","100","90",NA,"0","600",NA,NA,NA,NA,1996.3
"9","MOAB030",NA,NA,28,8,NA,NA,"0","140",NA,NA,"0","425",NA,NA,NA,NA,1986.2
"10","MOAB035",NA,NA,33,6,NA,NA,"0","170",NA,NA,"0","240",NA,NA,NA,NA,1924.1
"11","MOAB038",NA,6,31,NA,NA,"10","0",NA,NA,"5","0",NA,NA,NA,NA,NA,1735.1
"12","MOAB042",6,5,30,1,"35","15","0","65","65","25","0","65",NA,NA,NA,NA,1784.3
"13","MOAB045",3,6,23,NA,"70","10","0",NA,"95","20","0",NA,NA,NA,NA,NA,1702.5
"14","MOAB048",13,NA,27,NA,"100",NA,"0",NA,"90",NA,"0",NA,NA,NA,NA,NA,1701.8
"15","MOAB050",NA,3,21,NA,NA,"10","0",NA,NA,"20","0",NA,NA,NA,NA,NA,1748.4
"16","MOAB103",2,1,NA,3,"45","30",NA,"400","50","30",NA,"425",NA,NA,NA,NA,1829.3
"17","MOAB104",17,NA,NA,NA,"105",NA,NA,NA,"95",NA,NA,NA,NA,NA,NA,NA,1986.6
"18","MOAB106_1",NA,3,NA,NA,NA,"5",NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,1770.5
"19","MOAB107",NA,NA,NA,3,NA,NA,NA,"100",NA,NA,NA,"115",NA,NA,NA,NA,1841.8
"20","MOAB111",1,NA,NA,8,"90",NA,NA,"375","90",NA,NA,"375",NA,NA,NA,NA,1721.5
"21","MOAB116_1",5,NA,NA,NA,"105",NA,NA,NA,"90",NA,NA,NA,NA,NA,NA,NA,1977.5
"22","MOAB116_2",4,NA,NA,NA,"120",NA,NA,NA,"65",NA,NA,NA,NA,NA,NA,NA,1977
"23","MOAB118",13,NA,NA,NA,"100",NA,NA,NA,"90",NA,NA,NA,NA,NA,NA,NA,1970
"24","MOAB119_2",NA,1,NA,NA,NA,"10",NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,0
"25","MOAB126_2",1,1,NA,3,"20","15",NA,"165","20","15",NA,"245",NA,NA,NA,NA,1737.3
"26","MOAB127_1",4,NA,NA,NA,"145",NA,NA,NA,"150",NA,NA,NA,NA,NA,NA,NA,1964.4
"27","MOAB127_2",5,NA,NA,NA,"100",NA,NA,NA,"90",NA,NA,NA,NA,NA,NA,NA,1964.1
"28","MOAB128",NA,NA,NA,16,NA,NA,NA,"250",NA,NA,NA,"550",NA,NA,NA,NA,1975.8
"29","MOAB137",10,NA,NA,NA,"15",NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,1790.5
"30","MOAB149_1",NA,5,NA,NA,NA,"10",NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,1737.1
"31","MOAB150",NA,2,NA,12,NA,"10",NA,"450",NA,"15",NA,"525",NA,NA,NA,NA,1758.2
