"","Transect","JUOS_n","NONE_n","ARTR_n","PGRASS_n","JUOS_min_height_cm","NONE_min_height_cm","ARTR_min_height_cm","PGRASS_min_height_cm","JUOS_max_height_cm","NONE_max_height_cm","ARTR_max_height_cm","PGRASS_max_height_cm","JUOS_mean_height_cm","NONE_mean_height_cm","ARTR_mean_height_cm","PGRASS_mean_height_cm","mean_elev_m"
"1","ONAQ003",32,15,NA,NA,90,0,NA,NA,410,0,NA,NA,316,0,NA,NA,1838.6
"2","ONAQ009",NA,22,4,20,NA,0,65,5,NA,0,90,60,NA,0,76,36,1737.6
"3","ONAQ011",NA,28,4,6,NA,0,35,12,NA,0,90,30,NA,0,71,22,1804.6
"4","ONAQ012",NA,12,NA,1,NA,0,NA,3,NA,0,NA,3,NA,0,NA,3,1683.1
"5","ONAQ013",NA,19,12,1,NA,0,30,30,NA,0,105,30,NA,0,68,30,1653.3
"6","ONAQ014",NA,19,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,1603
"7","ONAQ016",NA,17,10,11,NA,0,45,5,NA,0,85,45,NA,0,64,25,1692.1
"8","ONAQ020",NA,26,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,1576.8
"9","ONAQ023",NA,7,10,8,NA,0,15,25,NA,0,110,60,NA,0,70,36,1713.8
"10","ONAQ024",NA,20,14,NA,NA,0,35,NA,NA,0,100,NA,NA,0,75,NA,1674.3
"11","ONAQ025",NA,20,10,1,NA,0,30,55,NA,0,80,55,NA,0,62,55,1624
"12","ONAQ026",NA,28,NA,2,NA,0,NA,20,NA,0,NA,20,NA,0,NA,20,1625.6
"13","ONAQ027",NA,19,13,NA,NA,0,25,NA,NA,0,110,NA,NA,0,62,NA,1593.1
"14","ONAQ028",NA,26,12,1,NA,0,15,25,NA,0,105,25,NA,0,49,25,1579.4
"15","ONAQ030",26,21,1,1,260,0,40,5,600,0,40,5,449,0,40,5,1768.2
"16","ONAQ033",NA,17,13,2,NA,0,33,10,NA,0,90,20,NA,0,64,15,1687.6
"17","ONAQ034",NA,19,11,1,NA,0,60,15,NA,0,110,15,NA,0,78,15,1658.6
"18","ONAQ035",NA,10,1,2,NA,0,45,15,NA,5,45,15,NA,0,45,15,1630.3
"19","ONAQ038",NA,14,1,25,NA,0,45,0,NA,0,45,55,NA,0,45,34,1730.1
"20","ONAQ042",NA,27,4,1,NA,0,30,5,NA,0,65,5,NA,0,48,5,1605.4
"21","ONAQ045",NA,23,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,1652.6
"22","ONAQ046",NA,30,5,1,NA,0,55,10,NA,0,75,10,NA,0,67,10,1657.9
