"BagID","Transect","Remarks","Litter","Litter_other","Litter_depth_center","Litter_depth_north","Litter_depth_east","Litter_depth_south","Litter_depth_west","Nearby_canopy_1","Nearby_canopy_2","Nearby_canopy_3","Nearby_canopy_4","Nearby_canopy_5"
1000,"SRER001","50","LT-H",NA,5,"1",5,8,10,"L-PRVE_45SE_175H_140L_145P",NA,NA,NA,NA
1001,"SRER001","45","LT-H",NA,3,"6",8,10,5,"L-PRVE_50SW_160H_175L_100P","L-PRVE_80SE_175H_300L_200P","L-ERLE_50N",NA,NA
1002,"SRER001","40","LT-H",NA,15,"20",10,20,15,"L-PRVE_250H_400L_250P",NA,NA,NA,NA
1003,"SRER001","35","H_W",NA,20,"25",15,20,10,"ERLE_ISTE_patch",NA,NA,NA,NA
1004,"SRER001","30","H_W_B",NA,5,"0",2,2,3,"L-PRVE_15S_400H_600L_550P","L-ISTE_10N","L-ISTE_30NW",NA,NA
1005,"SRER001","25","H_W_B",NA,20,"15",10,10,20,"L-ERLE_patch",NA,NA,NA,NA
1006,"SRER001","20","LT-H",NA,4,"0",3,5,3,"L-PRVE_50E_170H_300L_200P","L-ERLE_L-ISTE_5SE",NA,NA,NA
1008,"SRER001","10","H_C",NA,0,"0",2,5,1,"L-CY_50SE_125H_150L_75P","L-ERLE_L-ISTE_60W",NA,NA,NA
1007,"SRER001","15","H_C",NA,5,"3",3,3,5,"L-PRVE_50E_200H_200L_200P","L-ERLE_L-ISTE_5N","L-OP_70N_100H_70L_50P",NA,NA
1009,"SRER001","5","LT-H",NA,1,"0",0,1,0,"L-PRVE_40S_200H_350L_300P",NA,NA,NA,NA
1010,"SRER030","50","LT-H",NA,2,"1",0,1,3,"L-EP_85E_120H_225L_195P","L-BOER_D-FORB_30S",NA,NA,NA
1011,"SRER030","45","H_W",NA,3,"5",10,0,4,"L-ISTE_45SW","L-ERLE_65S",NA,NA,NA
1013,"SRER030","35","H_W",NA,1,"0",0,1,0,"L-PRVE_50S_250H_470L_470P","L-ISTE_patch",NA,NA,NA
1014,"SRER030","30","H_W",NA,2,"3",0,3,2,"L-PRVE_5N_250H_470L_470P","L-ISTE_patch",NA,NA,NA
1015,"SRER030","25","LT-H",NA,1,"0",0,0,0,"L-PRVE_150H_300L_200P","L-ISTE_25E",NA,NA,NA
1017,"SRER030","15","H_W",NA,8,"1",3,1,1,"L-ISTE_patch",NA,NA,NA,NA
