"","Transect","NONE_n","PGRASS_n","PRVE_n","WASH_n","NONE_min_height_cm","PGRASS_min_height_cm","PRVE_min_height_cm","WASH_min_height_cm","NONE_max_height_cm","PGRASS_max_height_cm","PRVE_max_height_cm","WASH_max_height_cm","NONE_mean_height_cm","PGRASS_mean_height_cm","PRVE_mean_height_cm","WASH_mean_height_cm","mean_elev_m"
"1","SRER001",24,9,11,NA,0,25,150,NA,0,65,240,NA,0,44,215,NA,989.9
"2","SRER006",5,4,12,NA,0,0,0,NA,0,30,300,NA,0,12,102,NA,1177.5
"3","SRER007",11,8,14,NA,0,5,190,NA,0,65,500,NA,0,30,375,NA,1098.6
"4","SRER008",25,7,10,NA,0,30,300,NA,0,65,600,NA,0,46,480,NA,945.3
"5","SRER012",14,5,NA,NA,0,35,NA,NA,0,45,NA,NA,0,41,NA,NA,1237.8
"6","SRER014",26,7,6,NA,0,35,165,NA,0,80,240,NA,0,59,212,NA,940
"7","SRER015",30,NA,11,NA,0,NA,70,NA,0,NA,360,NA,0,NA,285,NA,921.9
"8","SRER017",15,3,3,NA,0,20,150,NA,0,40,200,NA,0,32,183,NA,1461.3
"9","SRER018",13,17,19,NA,0,10,250,NA,20,55,470,NA,2,31,396,NA,1235.3
"10","SRER019",11,26,10,NA,0,10,310,NA,0,80,450,NA,0,35,382,NA,1306.2
"11","SRER020",10,1,NA,1,0,15,NA,10,0,15,NA,10,0,15,NA,10,1077.4
"12","SRER023",4,31,10,NA,0,15,150,NA,0,60,430,NA,0,48,302,NA,1112
"13","SRER024",24,NA,15,NA,0,NA,95,NA,0,NA,250,NA,0,NA,190,NA,938
"14","SRER025",29,NA,12,NA,0,NA,280,NA,0,NA,370,NA,0,NA,332,NA,912.7
"15","SRER026",24,1,3,NA,0,20,275,NA,0,20,275,NA,0,20,275,NA,864.2
"16","SRER027",1,46,NA,NA,0,40,NA,NA,0,80,NA,NA,0,61,NA,NA,1121.8
"17","SRER028",1,40,NA,NA,0,20,NA,NA,0,70,NA,NA,0,53,NA,NA,1124.5
"18","SRER029",15,10,20,NA,0,5,65,NA,10,50,300,NA,1,30,190,NA,1116.1
"19","SRER030",17,12,11,NA,0,0,75,NA,0,65,350,NA,0,43,253,NA,1064.5
"20","SRER031",24,6,9,1,0,35,200,30,0,65,600,30,0,50,556,30,1035.8
"21","SRER039",16,2,1,NA,0,5,50,NA,0,30,50,NA,0,18,50,NA,886.5
"22","SRER041",13,14,23,NA,0,5,450,NA,0,45,550,NA,0,24,498,NA,1251.3
"23","SRER043",23,4,7,NA,0,10,125,NA,0,50,240,NA,0,21,206,NA,1035.7
"24","SRER045",28,5,NA,NA,0,15,NA,NA,0,70,NA,NA,0,49,NA,NA,920.4
