Transect,Latitude,Longitude,Elevation
SRER001,31.8525582,-110.8836533,989.547
SRER006,31.78117255,-110.8482678,1176.903
SRER007,31.86547847,-110.8297876,1098.41
SRER008,31.8692847,-110.8864418,945.215
SRER012,31.84775765,-110.8135941,1237.857
SRER014,31.82889388,-110.9327691,940.182
SRER015,31.83609051,-110.9381464,921.918
SRER017,31.79133034,-110.8015862,1461.287
SRER018,31.79784299,-110.8265624,1235.292
SRER019,31.78542482,-110.8203709,1306.244
SRER020,31.90155585,-110.7987807,1075.264
SRER023,31.81872471,-110.8587653,1111.787
SRER024,31.81884598,-110.9416224,937.98
SRER025,31.81235095,-110.9596948,912.604
SRER026,31.90498109,-110.9030818,864.393
SRER027,31.7721689,-110.8992239,1121.745
SRER028,31.77051155,-110.9010826,1124.556
SRER029,31.81314693,-110.8604835,1116.505
SRER030,31.83098725,-110.8694268,1064.33
SRER031,31.85632368,-110.8543181,1034.084
SRER039,31.81479553,-110.9745186,885.917
SRER041,31.79457868,-110.8243293,1251.948
SRER043,31.89403418,-110.8179645,1035.461
SRER045,31.87088024,-110.901779,920.087
JORN002,32.6666273,-106.867472,1306.707
JORN003,32.68017438,-106.8263965,1307.546
JORN005,32.66182785,-106.8102478,1304.665
JORN006,32.61575887,-106.7703266,1301.528
JORN007,32.59817689,-106.764454,1293.7
JORN008,32.60227653,-106.7516275,1294.101
JORN009,32.59520414,-106.7497077,1293.824
JORN010,32.58282904,-106.7458631,1296.178
JORN011,32.58073422,-106.7736758,1301.925
JORN012,32.54728894,-106.7702392,1295.386
JORN014,32.53838921,-106.7918879,1292.325
JORN016,32.63268381,-106.8371671,1298.4
JORN018,32.61357658,-106.8509353,1299.895
JORN021,32.61275578,-106.8121546,1303.532
JORN022,32.60182911,-106.8218651,1300.752
JORN025,32.59601479,-106.8218458,1296.605
JORN027,32.59686151,-106.7910993,1298.862
JORN028,32.59714535,-106.8665584,1308.352
JORN030,32.58877129,-106.8609419,1308.749
JORN032,32.57610127,-106.8389868,1301.45
JORN034,32.56861667,-106.8202082,1303.606
JORN036,32.57292232,-106.7945155,1301.481
JORN038,32.58532432,-106.8143339,1300.286
MOAB006,38.25812358,-109.4181071,1781.105
MOAB010,38.24953851,-109.4211794,1740.114
MOAB012,38.24990613,-109.4040148,1756.812
MOAB013,38.24797139,-109.4044013,1766.051
MOAB014,38.24549554,-109.391406,1778.121
MOAB020,38.27785867,-109.3516247,1991.456
MOAB023,38.25834343,-109.3852734,1779.896
MOAB029,38.26275067,-109.3448645,1997.274
MOAB030,38.26245724,-109.3405246,1985.576
MOAB035,38.25164928,-109.3326705,1925.381
MOAB038,38.23166274,-109.3923674,1700.334
MOAB042,38.23002249,-109.3526693,1787.276
MOAB045,38.2206655,-109.3915365,1705.455
MOAB048,38.20751091,-109.3881721,1705.401
MOAB050,38.20822936,-109.3747797,1750.455
ONAQ003,40.18799825,-112.5093539,1839.141
ONAQ012,40.14758653,-112.5073835,1683.562
ONAQ013,40.21736631,-112.459415,1653.161
ONAQ014,40.21169438,-112.4378373,1601.496
ONAQ020,40.20738769,-112.4230705,1575.12
ONAQ024,40.19797364,-112.4658277,1674.902
ONAQ025,40.19851679,-112.4443145,1623.873
ONAQ026,40.1958263,-112.446128,1624.373
ONAQ027,40.19666892,-112.4274901,1591.644
ONAQ028,40.19660857,-112.4195653,1578.953
ONAQ030,40.18557124,-112.4946855,1768.09
ONAQ033,40.18559596,-112.4696193,1687.969
ONAQ034,40.1807616,-112.4607075,1659.563
ONAQ035,40.17855492,-112.4488597,1629.14
ONAQ038,40.17022534,-112.4992752,1730.224
ONAQ042,40.17478839,-112.438113,1605.25
ONAQ045,40.14692701,-112.4949487,1652.886
ONAQ046,40.15836062,-112.4772675,1659.228
ONAQ048,40.14514995,-112.4720688,1626.135
ONAQ049,40.15270268,-112.4567587,1612.624
ONAQ009,40.15643833,-112.51334,1749.4
ONAQ011,40.14811338,-112.5389151,1805.801
ONAQ016,40.20464354,-112.4676934,1691.203
ONAQ023,40.19286292,-112.4780454,1711.919
