"","Transect","Trip","NONE_n","PGRASS_n","PRVE_n","WASH_n","LATR_n","NONE_min_height_cm","PGRASS_min_height_cm","PRVE_min_height_cm","WASH_min_height_cm","LATR_min_height_cm","NONE_max_height_cm","PGRASS_max_height_cm","PRVE_max_height_cm","WASH_max_height_cm","LATR_max_height_cm","NONE_mean_height_cm","PGRASS_mean_height_cm","PRVE_mean_height_cm","WASH_mean_height_cm","LATR_mean_height_cm","mean_elev_m"
"1","SRER001","F2024",24,9,11,NA,NA,0,25,150,NA,NA,0,65,240,NA,NA,0,44,215,NA,NA,1009.4
"2","SRER001","S2025",NA,NA,16,NA,NA,NA,NA,150,NA,NA,NA,NA,400,NA,NA,NA,NA,272,NA,NA,1009.4
"3","SRER006","F2024",5,4,12,NA,NA,0,0,0,NA,NA,0,30,300,NA,NA,0,12,102,NA,NA,1177.5
"4","SRER007","F2024",11,8,14,NA,NA,0,5,190,NA,NA,0,65,500,NA,NA,0,30,375,NA,NA,1098.6
"5","SRER008","F2024",25,7,10,NA,NA,0,30,300,NA,NA,0,65,600,NA,NA,0,46,480,NA,NA,945.3
"6","SRER012","F2024",14,5,NA,NA,NA,0,35,NA,NA,NA,0,45,NA,NA,NA,0,41,NA,NA,NA,1237.8
"7","SRER014","F2024",26,7,6,NA,NA,0,35,165,NA,NA,0,80,240,NA,NA,0,59,212,NA,NA,940
"8","SRER015","F2024",30,NA,11,NA,NA,0,NA,70,NA,NA,0,NA,360,NA,NA,0,NA,285,NA,NA,921.9
"9","SRER017","F2024",15,3,3,NA,NA,0,20,150,NA,NA,0,40,200,NA,NA,0,32,183,NA,NA,1461.3
"10","SRER018","F2024",13,17,19,NA,NA,0,10,250,NA,NA,20,55,470,NA,NA,2,31,396,NA,NA,1113.2
"11","SRER018","S2025",NA,NA,7,NA,NA,NA,NA,375,NA,NA,NA,NA,400,NA,NA,NA,NA,396,NA,NA,1113.2
"12","SRER019","F2024",11,26,10,NA,NA,0,10,310,NA,NA,0,80,450,NA,NA,0,35,382,NA,NA,1306.2
"13","SRER020","F2024",10,1,NA,1,NA,0,15,NA,10,NA,0,15,NA,10,NA,0,15,NA,10,NA,1077.4
"14","SRER021","S2025",NA,NA,8,NA,NA,NA,NA,20,NA,NA,NA,NA,325,NA,NA,NA,NA,227,NA,NA,1067.3
"15","SRER023","F2024",4,31,10,NA,NA,0,15,150,NA,NA,0,60,430,NA,NA,0,48,302,NA,NA,1112
"16","SRER024","F2024",24,NA,15,NA,NA,0,NA,95,NA,NA,0,NA,250,NA,NA,0,NA,190,NA,NA,938
"17","SRER025","F2024",29,NA,12,NA,NA,0,NA,280,NA,NA,0,NA,370,NA,NA,0,NA,332,NA,NA,912.7
"18","SRER026","F2024",24,1,3,NA,NA,0,20,275,NA,NA,0,20,275,NA,NA,0,20,275,NA,NA,940.5
"19","SRER026","S2025",NA,NA,5,1,NA,NA,NA,200,0,NA,NA,NA,300,0,NA,NA,NA,260,0,NA,940.5
"20","SRER027","F2024",1,46,NA,NA,NA,0,40,NA,NA,NA,0,80,NA,NA,NA,0,61,NA,NA,NA,1121.8
"21","SRER028","F2024",1,40,NA,NA,NA,0,20,NA,NA,NA,0,70,NA,NA,NA,0,53,NA,NA,NA,1124.5
"22","SRER029","F2024",15,10,20,NA,NA,0,5,65,NA,NA,10,50,300,NA,NA,1,30,190,NA,NA,1116.1
"23","SRER030","F2024",17,12,11,NA,NA,0,0,75,NA,NA,0,65,350,NA,NA,0,43,253,NA,NA,1006
"24","SRER030","S2025",NA,NA,5,NA,NA,NA,NA,125,NA,NA,NA,NA,250,NA,NA,NA,NA,225,NA,NA,1006
"25","SRER031","F2024",24,6,9,1,NA,0,35,200,30,NA,0,65,600,30,NA,0,50,556,30,NA,1035.8
"26","SRER034","S2025",NA,5,8,NA,NA,NA,25,250,NA,NA,NA,50,375,NA,NA,NA,35,303,NA,NA,893.8
"27","SRER039","F2024",16,2,1,NA,NA,0,5,50,NA,NA,0,30,50,NA,NA,0,18,50,NA,NA,1064.5
"28","SRER039","S2025",NA,NA,12,2,NA,NA,NA,175,65,NA,NA,NA,375,80,NA,NA,NA,219,72,NA,1064.5
"29","SRER041","F2024",13,14,23,NA,NA,0,5,450,NA,NA,0,45,550,NA,NA,0,24,498,NA,NA,1184.5
"30","SRER043","F2024",23,4,7,NA,NA,0,10,125,NA,NA,0,50,240,NA,NA,0,21,206,NA,NA,1035.7
"31","SRER045","F2024",28,5,NA,NA,11,0,15,NA,NA,90,0,70,NA,NA,220,0,49,NA,NA,161,920.4
"32","SRER046","S2025",NA,NA,13,NA,NA,NA,NA,200,NA,NA,NA,NA,350,NA,NA,NA,NA,271,NA,NA,984.3
"33","SRER050","S2025",NA,1,14,2,3,NA,30,175,0,200,NA,30,400,0,200,NA,30,291,0,200,871.2
