"Transect","Latitude","Longitude","Elevation"
"SRER001",31.82126496,-110.888213193,1028.649
"SRER018",31.844252782,-110.88910644,991.506
"SRER021",31.853324132,-110.846221707,1066.721
"SRER026",31.874982453,-110.847447607,1016.54
"SRER030",31.866825492,-110.888538983,945.959
"SRER034",31.900722797,-110.881269672,893.993
"SRER039",31.825495182,-110.821805163,1242.894
"SRER041",31.774675538,-110.896861648,1117.645
"SRER046",31.824782442,-110.909530823,984.479
"SRER050",31.893540033,-110.91106773,870.83
"JORN019",32.624126723,-106.807927275,1304.333
"JORN035",32.566703813,-106.806765363,1299.826
"JORN037",32.57827788,-106.812144608,1306.257
"JORN102",32.536880593,-106.765920055,1290.851
"JORN104",32.573052825,-106.74477541,1292.103
"JORN105",32.600173142,-106.868917307,1307.506
"JORN109",32.594990518,-106.847167327,1299.493
"JORN111",32.591450163,-106.817829268,1296.214
"JORN114",32.595942473,-106.757864408,1293.284
"JORN117",32.605416628,-106.793275855,1297.469
"JORN120",32.608735527,-106.778862968,1291.048
"JORN123",32.633630192,-106.839370943,1299.078
"JORN126",32.608483738,-106.843261225,1296.443
"JORN129",32.649563815,-106.84531989,1311.999
"JORN137",32.676211633,-106.843319122,1308.342
"JORN138",32.669058555,-106.838086793,1305.155
"JORN138",32.669058655,-106.83808594,1305.207
"JORN139",32.691672798,-106.833246137,1307.381
"JORN140",32.682045102,-106.84076208,1306.334
"JORN141",32.690985178,-106.845794645,1313.791
"JORN144",32.575750672,-106.775241052,1301.181
"MOAB103",38.274853627,-109.37680123,1829.236
"MOAB104",38.269588368,-109.344174505,1986.317
"MOAB105",38.241806092,-109.401463852,1754.03
"MOAB106_1",38.250385958,-109.39491923,1770.668
"MOAB107",38.270584962,-109.368692258,1842.599
"MOAB111",38.260013912,-109.440674022,1721.014
"MOAB114_2",38.226576677,-109.396236242,1734.162
"MOAB116_2",38.269677333,-109.34240058,1977.201
"MOAB118",38.269172643,-109.34022444,1970.337
"MOAB119_1",38.244856023,-109.401139025,1760.507
"MOAB119_2",38.244756667,-109.401123333,0
"MOAB126_2",38.25715021,-109.436902697,1735.789
"MOAB127_2",38.267612608,-109.337406967,1964.785
"MOAB128",38.282147965,-109.357468453,1975.846
"MOAB131",38.256998478,-109.383765018,1791.267
"MOAB135_1",38.227008907,-109.388490585,1718.87
"MOAB137",38.26403797,-109.418770572,1790.185
"MOAB147_1",38.24113142,-109.396323433,1769.167
"MOAB147_2",38.241086667,-109.396295,0
"MOAB148_1",38.237859627,-109.397173937,1755.15
"MOAB149_1",38.249462177,-109.427433607,1737.503
"MOAB150",38.25347385,-109.41976266,1758.98
"ONAQ203_1",40.147936667,-112.460825,0
"ONAQ203_2",40.147971597,-112.460812072,1614.643
"ONAQ204_1",40.143718333,-112.518456667,0
"ONAQ204_2",40.143645488,-112.518472208,1707.951
"ONAQ209",40.203884997,-112.42762578,1589.196
"ONAQ210_1",40.215405,-112.441085,0
"ONAQ210_2",40.215464372,-112.441119023,1608.512
"ONAQ213",40.154433693,-112.53185303,1807.711
"ONAQ215",40.209329035,-112.471070152,1708.586
"ONAQ226_1",40.1717,-112.51352,0
"ONAQ226_2",40.171706027,-112.513568713,1807.485
"ONAQ228_1",40.200526667,-112.470575,0
"ONAQ228_2",40.200588167,-112.470584893,1699.433
"ONAQ229_1",40.161156667,-112.483056667,0
"ONAQ229_2",40.161107602,-112.48307865,1675.713
"ONAQ230",40.153436017,-112.476433968,1647.741
"ONAQ231",40.18732078,-112.423431887,1586.481
"ONAQ232_2",40.180717298,-112.50376328,1783.337
"ONAQ236",40.1813982,-112.498052212,1770.121
"ONAQ238",40.180040727,-112.4722225,1690.292
"ONAQ239",40.179456267,-112.442339122,1616.995
"ONAQ242",40.195937167,-112.47015603,1691.077
"ONAQ243_1",40.220781667,-112.463341667,0
"ONAQ243_2",40.220868455,-112.463385413,1667.351
"ONAQ246_2",40.192442835,-112.422346675,1584.74
"ONAQ247_1",40.173773333,-112.493768333,0
"ONAQ247_2",40.173765492,-112.493772918,1733.129
"ONAQ250",40.188150012,-112.488843232,1756.204
