"","Bag_ID","Litter_type","Envelope_mass_g","Envelope_tare_g","Litter_mass_g","Reweighed_Litter_mass_g","Notes","Litter_mass_final_g","X","Transect","ID","Remarks","Time","Geometry","Latitude","Longitude","Elevation","Ortho.Height","Instrument.Ht","Fix.ID","Horizontal.Accuracy","Vertical.Accuracy","PDOP","HDOP","VDOP","Satellites.in.View","Satellites.in.Use","Top_layer","Top_layer_other","Lower_1","Lower_1_other","Lower_2","Lower_2_other","Lower_3","Lower_3_other","Soil_surface","Soil_surface_other","Microsite","Microsite_other","Top_height","Litter","Litter_other","Litter_depth_center","Litter_depth_north","Litter_depth_east","Litter_depth_south","Litter_depth_west","Nearby_canopy_1","Nearby_canopy_2","Nearby_canopy_3","Nearby_canopy_4","Nearby_canopy_5","Photo","Quadrat_checklist","Site","Season"
"1",1000,"Ambiguous",1.5383,1.311,0.2273,NA,"",0.2273,1,"SRER001",1,50,"21-04-2025 08:09:21.500 -0700","POINTZ(-110.888248568 31.821504562 1028.293)",31.821504562,-110.888248568,1028.293,0,1.74,2,0.093,0.19,0.89,0.47,0.76,42,32,"N",NA,"N",NA,"N",NA,"N",NA,"SOIL",NA,"OPEN",NA,0,"LT-H",NA,5,1,5,8,10,"L-PRVE_45SE_175H_140L_145P",NA,NA,NA,NA,NA,"Quadrat_photo||Canopy_photo||Litter_collection","SRER","S25"
"2",1000,"Grass",4.4099,3.1041,1.3058,NA,"",1.3058,1,"SRER001",1,50,"21-04-2025 08:09:21.500 -0700","POINTZ(-110.888248568 31.821504562 1028.293)",31.821504562,-110.888248568,1028.293,0,1.74,2,0.093,0.19,0.89,0.47,0.76,42,32,"N",NA,"N",NA,"N",NA,"N",NA,"SOIL",NA,"OPEN",NA,0,"LT-H",NA,5,1,5,8,10,"L-PRVE_45SE_175H_140L_145P",NA,NA,NA,NA,NA,"Quadrat_photo||Canopy_photo||Litter_collection","SRER","S25"
"3",1000,"Leaves",1.3898,1.3357,0.0541,NA,"",0.0541,1,"SRER001",1,50,"21-04-2025 08:09:21.500 -0700","POINTZ(-110.888248568 31.821504562 1028.293)",31.821504562,-110.888248568,1028.293,0,1.74,2,0.093,0.19,0.89,0.47,0.76,42,32,"N",NA,"N",NA,"N",NA,"N",NA,"SOIL",NA,"OPEN",NA,0,"LT-H",NA,5,1,5,8,10,"L-PRVE_45SE_175H_140L_145P",NA,NA,NA,NA,NA,"Quadrat_photo||Canopy_photo||Litter_collection","SRER","S25"
"4",1001,"Grass",4.7303,3.1381,1.5922,NA,"",1.5922,6,"SRER001",6,45,"21-04-2025 08:30:58.250 -0700","POINTZ(-110.888239762 31.821458978 1028.86)",31.821458978,-110.888239762,1028.86,0,1.74,2,0.096,0.21,1.01,0.51,0.86,41,32,"N",NA,"N",NA,"N",NA,"N",NA,"SOIL",NA,"OPEN",NA,0,"LT-H",NA,3,6,8,10,5,"L-PRVE_50SW_160H_175L_100P","L-PRVE_80SE_175H_300L_200P","L-ERLE_50N",NA,NA,NA,"Quadrat_photo||Canopy_photo||Litter_collection","SRER","S25"
"5",1001,"Leaves",1.4975,1.3278,0.1697,NA,"",0.1697,6,"SRER001",6,45,"21-04-2025 08:30:58.250 -0700","POINTZ(-110.888239762 31.821458978 1028.86)",31.821458978,-110.888239762,1028.86,0,1.74,2,0.096,0.21,1.01,0.51,0.86,41,32,"N",NA,"N",NA,"N",NA,"N",NA,"SOIL",NA,"OPEN",NA,0,"LT-H",NA,3,6,8,10,5,"L-PRVE_50SW_160H_175L_100P","L-PRVE_80SE_175H_300L_200P","L-ERLE_50N",NA,NA,NA,"Quadrat_photo||Canopy_photo||Litter_collection","SRER","S25"
"6",1002,"Grass",4.3804,1.3391,3.0413,NA,"resorted and reweighed 10-Jun-2026",3.0413,11,"SRER001",11,40,"21-04-2025 08:53:57.500 -0700","POINTZ(-110.88823517 31.821407517 1027.793)",31.821407517,-110.88823517,1027.793,0,1.74,2,0.11,0.27,1.06,0.53,0.92,40,32,"L-OTHER","PRVE","N",NA,"N",NA,"N",NA,"SOIL",NA,"CANOPY",NA,225,"LT-H",NA,15,20,10,20,15,"L-PRVE_250H_400L_250P",NA,NA,NA,NA,NA,"Quadrat_photo||Canopy_photo||Litter_collection","SRER","S25"
"7",1002,"Leaves",2.1762,1.3561,0.8201,NA,"resorted and reweighed 10-Jun-2026",0.8201,11,"SRER001",11,40,"21-04-2025 08:53:57.500 -0700","POINTZ(-110.88823517 31.821407517 1027.793)",31.821407517,-110.88823517,1027.793,0,1.74,2,0.11,0.27,1.06,0.53,0.92,40,32,"L-OTHER","PRVE","N",NA,"N",NA,"N",NA,"SOIL",NA,"CANOPY",NA,225,"LT-H",NA,15,20,10,20,15,"L-PRVE_250H_400L_250P",NA,NA,NA,NA,NA,"Quadrat_photo||Canopy_photo||Litter_collection","SRER","S25"
"8",1002,"Ambiguous",3.0289,1.3574,1.6715,NA,"resorted and reweighed 10-Jun-2026",1.6715,11,"SRER001",11,40,"21-04-2025 08:53:57.500 -0700","POINTZ(-110.88823517 31.821407517 1027.793)",31.821407517,-110.88823517,1027.793,0,1.74,2,0.11,0.27,1.06,0.53,0.92,40,32,"L-OTHER","PRVE","N",NA,"N",NA,"N",NA,"SOIL",NA,"CANOPY",NA,225,"LT-H",NA,15,20,10,20,15,"L-PRVE_250H_400L_250P",NA,NA,NA,NA,NA,"Quadrat_photo||Canopy_photo||Litter_collection","SRER","S25"
"9",1004,"Ambiguous",1.9575,1.3425,0.615,NA,"",0.615,21,"SRER001",22,30,"21-04-2025 09:33:57.000 -0700","POINTZ(-110.888221633 31.821311053 1028.53)",31.821311053,-110.888221633,1028.53,0,1.74,2,0.14,0.33,1.09,0.6,0.91,42,33,"N",NA,"N",NA,"N",NA,"N",NA,"SOIL",NA,"OPEN",NA,0,"H_W_B",NA,5,0,2,2,3,"L-PRVE_15S_400H_600L_550P","L-ISTE_10N","L-ISTE_30NW",NA,NA,NA,"Quadrat_photo||Canopy_photo||Litter_collection","SRER","S25"
"10",1004,"Grass",1.6781,1.3201,0.358,NA,"",0.358,21,"SRER001",22,30,"21-04-2025 09:33:57.000 -0700","POINTZ(-110.888221633 31.821311053 1028.53)",31.821311053,-110.888221633,1028.53,0,1.74,2,0.14,0.33,1.09,0.6,0.91,42,33,"N",NA,"N",NA,"N",NA,"N",NA,"SOIL",NA,"OPEN",NA,0,"H_W_B",NA,5,0,2,2,3,"L-PRVE_15S_400H_600L_550P","L-ISTE_10N","L-ISTE_30NW",NA,NA,NA,"Quadrat_photo||Canopy_photo||Litter_collection","SRER","S25"
"11",1004,"Leaves",3.0422,1.3357,1.7065,NA,"",1.7065,21,"SRER001",22,30,"21-04-2025 09:33:57.000 -0700","POINTZ(-110.888221633 31.821311053 1028.53)",31.821311053,-110.888221633,1028.53,0,1.74,2,0.14,0.33,1.09,0.6,0.91,42,33,"N",NA,"N",NA,"N",NA,"N",NA,"SOIL",NA,"OPEN",NA,0,"H_W_B",NA,5,0,2,2,3,"L-PRVE_15S_400H_600L_550P","L-ISTE_10N","L-ISTE_30NW",NA,NA,NA,"Quadrat_photo||Canopy_photo||Litter_collection","SRER","S25"
"12",1004,"ReproductiveParts",1.4302,1.3146,0.1156,NA,"",0.1156,21,"SRER001",22,30,"21-04-2025 09:33:57.000 -0700","POINTZ(-110.888221633 31.821311053 1028.53)",31.821311053,-110.888221633,1028.53,0,1.74,2,0.14,0.33,1.09,0.6,0.91,42,33,"N",NA,"N",NA,"N",NA,"N",NA,"SOIL",NA,"OPEN",NA,0,"H_W_B",NA,5,0,2,2,3,"L-PRVE_15S_400H_600L_550P","L-ISTE_10N","L-ISTE_30NW",NA,NA,NA,"Quadrat_photo||Canopy_photo||Litter_collection","SRER","S25"
