"","Site","Litter_type","Microsite","n"
"1","JORN","Ambiguous","CANOPY",7
"2","JORN","Grass","CANOPY",12
"3","JORN","Grass","OPEN",9
"4","JORN","Leaves","CANOPY",11
"5","JORN","Leaves","OPEN",5
"6","JORN","ReproductiveParts","CANOPY",6
"7","MOAB","Ambiguous","CANOPY",9
"8","MOAB","Ambiguous","OPEN",18
"9","MOAB","Forbs","CANOPY",1
"10","MOAB","Forbs","OPEN",2
"11","MOAB","Grass","CANOPY",14
"12","MOAB","Grass","OPEN",49
"13","MOAB","Leaves","CANOPY",13
"14","MOAB","Leaves","OPEN",22
"15","MOAB","ReproductiveParts","CANOPY",9
"16","MOAB","ReproductiveParts","OPEN",17
"17","ONAQ","Ambiguous","CANOPY",20
"18","ONAQ","Ambiguous","OPEN",22
"19","ONAQ","Forbs","CANOPY",9
"20","ONAQ","Forbs","OPEN",9
"21","ONAQ","Grass","CANOPY",24
"22","ONAQ","Grass","OPEN",36
"23","ONAQ","Leaves","CANOPY",16
"24","ONAQ","Leaves","OPEN",12
"25","ONAQ","ReproductiveParts","CANOPY",11
"26","ONAQ","ReproductiveParts","OPEN",14
"27","SRER","Ambiguous","CANOPY",18
"28","SRER","Ambiguous","OPEN",4
"29","SRER","Forbs","CANOPY",6
"30","SRER","Grass","CANOPY",26
"31","SRER","Grass","OPEN",13
"32","SRER","Leaves","CANOPY",25
"33","SRER","Leaves","OPEN",14
"34","SRER","ReproductiveParts","CANOPY",13
"35","SRER","ReproductiveParts","OPEN",3
